"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"TCGA.77.8130.01A.11H.2246.13","tumor",5.91160056217276,2.49467830380392,2.14830957821106,2.40015261743574,1.98705925152322
"SRR6757432","tumor",3.67481618417474,2.50700794083408,1.84200865787171,2.27692331112693,1.34729151276012
"SRR14634356","tumor",5.30361621012397,3.91923060629724,2.29277844332246,2.91861700851029,1.25841608580246
"TCGA.77.8150.01A.11H.2246.13","tumor",5.55693523033273,2.08812633171066,1.65106230703991,1.72651490000311,0.820453995226237
"SRR6757418","tumor",4.81700792138684,1.85598685659513,1.95137780862864,2.26748583802467,1.35258162792378
"TCGA.85.7696.01A.11H.2124.13","tumor",5.9988551175671,2.87524619156266,2.26535365929563,2.0927825534012,1.44087125583244
"TCGA.95.A4VP.01A.21H.A263.13","tumor",5.25310203627622,2.55517521401802,1.50155472916068,1.38357981290145,0.761196821706791
"TCGA.NJ.A4YF.01A.12H.A263.13","tumor",5.03735307658513,2.43729998012884,1.50281913043965,2.08299607434861,0.437824512992865
"SRR6757384","tumor",5.70532748947159,3.5422649354916,2.34787720551618,2.29653329728421,1.34659139343962
"SRR14634285","normal",6.06234245199682,2.84321202140967,2.49119480163176,2.79098472500125,1.21540690638705
"TCGA.05.5423.01A.01T.1627.13","tumor",5.6060951495826,2.94539600796077,1.45488997941955,3.03089913698877,0.451189355280251
"SRR6757467","normal",5.28021235395881,2.98829785791591,1.76049406888708,2.29533708161386,1.34558404657133
"TCGA.90.A4ED.01A.31H.A25B.13","tumor",5.04976857969362,3.10032593706874,1.60443632149535,1.03521839214414,0.280735313152734
"SRR6757417","normal",6.75437730518062,2.88486835599489,2.03318654790069,2.28473460610537,1.34751492388397
"TCGA.LA.A7SW.01A.11H.A404.13","tumor",6.00178470360639,2.84163300743501,1.88784478268578,2.08351704501558,0.573344351405848
"TCGA.43.7657.01A.31H.2124.13","tumor",6.23041850365688,2.74415254937872,2.60976216714626,2.57439950302862,1.92816855073729
"TCGA.77.7337.01A.21H.2044.13","tumor",5.85702657470104,2.82838736642314,2.33463161469212,2.28178500068268,1.91129141655728
"TCGA.39.5040.01A.21H.2124.13","tumor",6.28209492897751,2.922079086772,2.34510733800921,2.53229943864416,1.45368637227924
"SRR6757437","normal",5.9950747757718,2.49514166397498,1.73848683848889,2.26978332284912,1.35103400745818
"TCGA.56.7222.01A.11H.2044.13","tumor",5.90802284942481,3.22034212753902,2.67242337717712,2.92441491979825,2.47173701583291
