"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"SRR14634298","normal",6.23431398147203,3.28103308889654,5.41128897375472,5.01738974418982,1.66086254542177,2.98063611420584,1.70394058203558,1.6305297380815,1.58273414762602,3.29681247749464,1.62643126212012,2.4491157090498,1.17951901428802
"TCGA.44.7670.01A.11H.2065.13","tumor",5.76100414603723,2.00437409709356,5.17980295957132,4.88267002969561,1.69142325642674,2.33588157637515,1.52705757196954,1.43884565673312,1.68878493886921,3.75819271766751,1.46309923471802,3.15429465910944,1.60356387253784
"SRR14634316","tumor",5.57563761483835,2.36642769786079,5.02658643549241,4.68998040952954,1.81933786851887,1.4902782415122,1.27431502064691,1.2914688176153,1.85988073400914,3.54148155990038,1.79220149364467,2.88149453706816,1.28551791785933
"SRR6757397","normal",7.48955960453723,3.07330224405341,6.75474541226504,6.00771172322087,1.59955495666572,2.21594281814439,1.19116553001947,1.1422637930317,1.64301591757924,4.05279559738991,1.61206205450058,3.03713699121697,1.34616039342211
"TCGA.44.6777.11A.01H.2169.13","normal",5.71865224695051,1.43226260025377,5.14345946861441,4.8463265387387,0.877495536362262,0.933839553051384,0.527322836317074,0.635842980375328,0.834509485567987,3.72184041531887,0.596923519466403,3.11795645293728,-0.27896860301788
"SRR14634282","normal",6.19519620062417,1.76543269186144,5.01538889823743,4.58616932751766,0.836408587525197,1.16675525684114,0.75793351205918,0.733321872501866,0.761978661117579,3.85499942291844,0.834063644734302,2.63599700413258,1.14136748424025
"SRR14634305","normal",6.15669452709112,3.19038537580119,5.41160338205856,5.3509789161127,1.74243624503151,2.63146462323604,1.68550833793385,1.60714139582116,1.73360823772291,4.57595293684658,1.680255244313,4.32222845886131,1.19074456449824
"SRR6757410","tumor",6.0893816180689,3.43185694265641,4.61615737215089,4.38501848664246,1.97502006763992,2.47068234871718,1.26478943264289,1.28296009752741,2.02642843151787,3.69478466172239,1.72945414702957,3.26554271275378,1.34942383404632
"TCGA.58.8390.01A.11H.2325.13","tumor",4.79725204509156,2.45538059049159,4.18388160210137,3.88674867222566,1.39629632850938,1.64926690909583,0.894632484063049,0.891539382307653,1.37893221448914,2.76186484452721,1.15005780696294,2.15861703891277,1.16934673790315
"SRR6757468","tumor",4.94541843405616,3.15582391316611,4.16763225655957,4.07488992261831,1.84449741384838,2.28616570767182,1.25593629411395,1.39156842810086,1.8941263169186,3.46638136696925,1.64220470311782,3.08613701238455,1.35305625073691
"TCGA.34.7107.11A.01H.2124.13","normal",5.59098368533602,2.83174944656087,4.99571229583355,4.69857936595784,1.96446753857622,1.92768876893004,0.84948905843346,0.821888598422931,1.98694512989485,3.57405393341848,1.76351662145019,2.97023285557406,1.6459024245669
"TCGA.66.2765.01A.01T.1557.13","tumor",5.53681737754612,4.14174042922192,4.90295885088811,4.6058259210124,3.19001997886417,2.84376854886367,2.54358224283149,2.56885149118074,3.21258952898161,3.48127267190572,2.98918012746459,2.87749609255867,3.07510041315474
"SRR14634358","tumor",5.56430907066881,3.08176481044319,4.94499976315318,4.83411878442709,1.84230914292973,2.16558534495767,1.30580472846359,1.23568584409044,1.8872230330403,4.20254279262282,1.72706483715938,3.82111745266137,1.18649220907545
"SRR6757444","tumor",5.54879118558526,3.80790195997143,4.97809182707617,4.74107959340898,3.18863284883829,2.57291487979978,2.41058157919815,2.42353873471126,3.06106261559464,3.57333074765771,2.53031290482822,3.10537371238747,1.3989488990023
"TCGA.NK.A5CX.01A.11H.A26V.13","tumor",6.1122270204366,3.38933852674286,5.52463774619325,5.22750481631753,2.74812122918505,3.20592363372107,2.43827037551349,2.48350025260144,2.78359232225137,4.10309693728048,2.56225613135164,3.49908779948628,2.37276159084113
"TCGA.34.5234.01A.01T.1634.13","tumor",5.51594479361711,2.526198898627,4.9293066454584,4.63217371558269,1.38989179926749,3.57652831956917,1.35111499943441,1.30916085331125,1.37625921426955,3.50762863227564,1.14186430226106,2.90383899007766,1.02238513686385
"SRR14634344","tumor",5.51148961119615,2.72323802586168,5.33868133856772,5.20075368130313,3.36787897997682,3.49106848186574,1.52808218459543,2.10649620994584,3.43809756497477,4.31778920090364,2.3706714833098,3.89848320660759,2.33280196758131
"TCGA.43.6143.01A.11H.1819.13","tumor",5.75375825736037,2.57118195375821,5.17788402876218,4.88075109888647,2.52796782249347,3.05729136891108,1.66280313490804,1.71519096853004,2.55809641373286,3.75627332958454,2.33128410655509,3.15237600256001,2.0731280380699
"TCGA.55.7726.01A.11H.2169.13","tumor",6.19842310654269,1.94288019894539,5.62197730323628,5.32484437336057,1.05925447162872,1.54875812159744,0.829146407379481,0.744105347751954,1.01583944677527,4.20045213410067,0.781703821054642,3.59641797507667,0.981310814594
"SRR6757383","normal",6.50140907710183,3.60818784822642,5.82201842378964,5.48233061926524,1.87068429321916,2.27254970416737,1.3778178281751,1.57332934309891,1.90090267504987,4.03631665544701,1.67819877318388,3.16754132565357,1.35582398457374
